Date,Open,High,Low,Close,Volume,Adj Close
19/02/2008,-0.373535923,-0.368375348,-0.37623275,-0.385706563,0.357633005,-0.385706563
20/02/2008,-0.386293825,-0.374463922,-0.390771453,-0.366497225,0.528894734,-0.366497225
21/02/2008,-0.362690852,-0.367249901,-0.385999479,-0.396378418,0.413022981,-0.396378418
22/02/2008,-0.393415809,-0.390512057,-0.407037712,-0.378313177,0.330381216,-0.378313177
23/02/2008,-0.393415809,-0.390512057,-0.407037712,-0.378313177,0.330381216,-0.378313177
24/02/2008,-0.393415809,-0.390512057,-0.407037712,-0.378313177,0.330381216,-0.378313177
25/02/2008,-0.378847441,-0.356300837,-0.374556557,-0.346399955,0.526115572,-0.346399955
26/02/2008,-0.346380401,-0.334164128,-0.345034422,-0.330195828,0.679209442,-0.330195828
27/02/2008,-0.334100759,-0.332458678,-0.330136594,-0.332364382,0.551674537,-0.332364382
28/02/2008,-0.335449852,-0.349820043,-0.345256787,-0.353434833,0.5742544,-0.353434833
29/02/2008,-0.359514198,-0.373849985,-0.409808609,-0.41669767,0.899589705,-0.41669767
01/03/2008,-0.359514198,-0.373849985,-0.409808609,-0.41669767,0.899589705,-0.41669767
02/03/2008,-0.359514198,-0.373849985,-0.409808609,-0.41669767,0.899589705,-0.41669767
03/03/2008,-0.416933512,-0.42320561,-0.419010761,-0.415485415,0.693545122,-0.415485415
04/03/2008,-0.41841937,-0.430197913,-0.440647813,-0.423322766,1.119823345,-0.423322766
05/03/2008,-0.42164731,-0.40775434,-0.418702999,-0.411455747,0.800272964,-0.411455747
06/03/2008,-0.413944702,-0.42820267,-0.447438192,-0.461587826,0.830763776,-0.461587826
07/03/2008,-0.46632561,-0.460537937,-0.483340219,-0.480319015,0.992015189,-0.480319015
08/03/2008,-0.46632561,-0.460537937,-0.483340219,-0.480319015,0.992015189,-0.480319015
09/03/2008,-0.46632561,-0.460537937,-0.483340219,-0.480319015,0.992015189,-0.480319015
10/03/2008,-0.480620656,-0.491628258,-0.500051208,-0.51446895,0.789296271,-0.51446895
11/03/2008,-0.512660723,-0.447900493,-0.497075066,-0.433738454,1.354352678,-0.433738454
12/03/2008,-0.432850972,-0.426394793,-0.439843958,-0.454023524,0.891292205,-0.454023524
13/03/2008,-0.459955207,-0.44614383,-0.483887675,-0.442566288,1.330546517,-0.442566288
14/03/2008,-0.441526987,-0.446502116,-0.496288333,-0.48924919,1.384143701,-0.48924919
15/03/2008,-0.441526987,-0.446502116,-0.496288333,-0.48924919,1.384143701,-0.48924919
16/03/2008,-0.441526987,-0.446502116,-0.496288333,-0.48924919,1.384143701,-0.48924919
17/03/2008,-0.497614305,-0.504436205,-0.52687093,-0.508953769,1.736857423,-0.508953769
18/03/2008,-0.507946925,-0.43069256,-0.492354247,-0.416509871,1.505340516,-0.416509871
19/03/2008,-0.416045375,-0.41232483,-0.45599037,-0.471696073,1.520615913,-0.471696073
20/03/2008,-0.469502264,-0.43081185,-0.461463889,-0.418610058,2.044904604,-0.418610058
21/03/2008,-0.469502264,-0.43081185,-0.461463889,-0.418610058,2.044904604,-0.418610058
22/03/2008,-0.469502264,-0.43081185,-0.461463889,-0.418610058,2.044904604,-0.418610058
23/03/2008,-0.469502264,-0.43081185,-0.461463889,-0.418610058,2.044904604,-0.418610058
24/03/2008,-0.417206625,-0.381336727,-0.401478796,-0.383828358,0.947755192,-0.383828358
25/03/2008,-0.385132575,-0.385105913,-0.382800973,-0.378518069,0.711906257,-0.378518069
26/03/2008,-0.379359892,-0.393667306,-0.391010939,-0.398768955,0.652290886,-0.398768955
27/03/2008,-0.400042437,-0.405315455,-0.409398121,-0.425013171,0.640467782,-0.425013171
28/03/2008,-0.422791464,-0.423649043,-0.4311379,-0.443010253,0.406571592,-0.443010253
29/03/2008,-0.422791464,-0.423649043,-0.4311379,-0.443010253,0.406571592,-0.443010253
30/03/2008,-0.422791464,-0.423649043,-0.4311379,-0.443010253,0.406571592,-0.443010253
31/03/2008,-0.441749022,-0.43447861,-0.431377177,-0.430238211,0.741144113,-0.430238211
01/04/2008,-0.423833253,-0.363429501,-0.408115295,-0.349166092,1.111785767,-0.349166092
02/04/2008,-0.34945469,-0.350178329,-0.348010563,-0.353691,0.828751049,-0.353691
03/04/2008,-0.356747422,-0.354083668,-0.352919505,-0.350651605,0.561938111,-0.350651605
04/04/2008,-0.349642533,-0.345130056,-0.345821364,-0.348790492,0.417315021,-0.348790492
05/04/2008,-0.349642533,-0.345130056,-0.345821364,-0.348790492,0.417315021,-0.348790492
06/04/2008,-0.349642533,-0.345130056,-0.345821364,-0.348790492,0.417315021,-0.348790492
07/04/2008,-0.343084287,-0.335187357,-0.335233659,-0.345136424,0.447092716,-0.345136424
08/04/2008,-0.349112987,-0.363463644,-0.34960136,-0.357088901,0.350268557,-0.357088901
09/04/2008,-0.357071821,-0.366482324,-0.367817541,-0.375956824,0.319724427,-0.375956824
10/04/2008,-0.374372773,-0.368443633,-0.367578055,-0.365609293,0.406018425,-0.365609293
11/04/2008,-0.369915201,-0.384236117,-0.399905329,-0.412941261,0.4311042,-0.412941261
12/04/2008,-0.369915201,-0.384236117,-0.399905329,-0.412941261,0.4311042,-0.412941261
13/04/2008,-0.369915201,-0.384236117,-0.399905329,-0.412941261,0.4311042,-0.412941261
14/04/2008,-0.413944702,-0.422335813,-0.408542903,-0.420642088,0.325289417,-0.420642088
15/04/2008,-0.414764456,-0.418788552,-0.411638892,-0.4102091,0.336092828,-0.4102091
16/04/2008,-0.405712546,-0.371428171,-0.389967598,-0.358506257,0.788716446,-0.358506257
17/04/2008,-0.360709639,-0.366124246,-0.355365519,-0.357054718,0.424499523,-0.357054718
18/04/2008,-0.3510942,-0.319565376,-0.335267901,-0.314760199,0.763397408,-0.314760199
19/04/2008,-0.3510942,-0.319565376,-0.335267901,-0.314760199,0.763397408,-0.314760199
20/04/2008,-0.3510942,-0.319565376,-0.335267901,-0.314760199,0.763397408,-0.314760199
21/04/2008,-0.319122515,-0.329235352,-0.317735936,-0.318448242,0.229018425,-0.318448242
22/04/2008,-0.321325554,-0.335715938,-0.333831194,-0.339331102,0.496491164,-0.339331102
23/04/2008,-0.335039975,-0.33326019,-0.329726107,-0.332517998,0.684241259,-0.332517998
24/04/2008,-0.331419253,-0.316461548,-0.331693149,-0.317338536,0.922869357,-0.317338536
25/04/2008,-0.318849194,-0.314090948,-0.316487352,-0.301936882,0.542643925,-0.301936882
26/04/2008,-0.318849194,-0.314090948,-0.316487352,-0.301936882,0.542643925,-0.301936882
27/04/2008,-0.318849194,-0.314090948,-0.316487352,-0.301936882,0.542643925,-0.301936882
28/04/2008,-0.301633719,-0.307627225,-0.291822795,-0.304446852,0.353267653,-0.304446852
29/04/2008,-0.305647224,-0.317689422,-0.304993275,-0.313718651,0.492105819,-0.313718651
30/04/2008,-0.313144894,-0.304779257,-0.309183758,-0.322853717,0.954346539,-0.322853717
01/05/2008,-0.322111326,-0.295399281,-0.311202164,-0.28230067,0.914285277,-0.28230067
02/05/2008,-0.282505206,-0.273825296,-0.271554175,-0.274514385,0.583884831,-0.274514385
03/05/2008,-0.282505206,-0.273825296,-0.271554175,-0.274514385,0.583884831,-0.274514385
04/05/2008,-0.282505206,-0.273825296,-0.271554175,-0.274514385,0.583884831,-0.274514385
05/05/2008,-0.271950551,-0.286411526,-0.274769803,-0.285459497,0.222033863,-0.285459497
06/05/2008,-0.288585401,-0.275786606,-0.287204703,-0.267069724,0.564603974,-0.267069724
07/05/2008,-0.268278542,-0.279248511,-0.29736459,-0.310935423,0.665746832,-0.310935423
08/05/2008,-0.307901549,-0.308565306,-0.300392094,-0.302209932,0.500256697,-0.302209932
09/05/2008,-0.30685976,-0.321270826,-0.309423244,-0.318260442,0.294365401,-0.318260442
10/05/2008,-0.30685976,-0.321270826,-0.309423244,-0.318260442,0.294365401,-0.318260442
11/05/2008,-0.30685976,-0.321270826,-0.309423244,-0.318260442,0.294365401,-0.318260442
12/05/2008,-0.316253165,-0.305648845,-0.305848493,-0.292135868,0.19573512,-0.292135868
13/05/2008,-0.290634788,-0.301828653,-0.28864141,-0.293057774,0.627578333,-0.293057774
14/05/2008,-0.288499923,-0.278140135,-0.272580395,-0.283461651,0.601439542,-0.283461651
15/05/2008,-0.283871603,-0.270960049,-0.270493714,-0.258003025,0.506208237,-0.258003025
16/05/2008,-0.257347993,-0.268538443,-0.257699689,-0.254963631,0.510280343,-0.254963631
17/05/2008,-0.257347993,-0.268538443,-0.257699689,-0.254963631,0.510280343,-0.254963631
18/05/2008,-0.257347993,-0.268538443,-0.257699689,-0.254963631,0.510280343,-0.254963631
19/05/2008,-0.254973998,-0.243945778,-0.245247668,-0.252777985,0.40456553,-0.252777985
20/05/2008,-0.2563233,-0.270806616,-0.266696597,-0.275368133,0.518097987,-0.275368133
21/05/2008,-0.274136495,-0.279964875,-0.301384072,-0.314111342,0.960411378,-0.314111342
22/05/2008,-0.313810996,-0.314159232,-0.298955387,-0.307896029,0.585837576,-0.307896029
23/05/2008,-0.311471193,-0.325875666,-0.327194695,-0.339347985,0.292872518,-0.339347985
24/05/2008,-0.311471193,-0.325875666,-0.327194695,-0.339347985,0.292872518,-0.339347985
25/05/2008,-0.311471193,-0.325875666,-0.327194695,-0.339347985,0.292872518,-0.339347985
26/05/2008,-0.311471193,-0.325875666,-0.327194695,-0.339347985,0.292872518,-0.339347985
27/05/2008,-0.339190244,-0.334061701,-0.32830652,-0.3232635,0.341177963,-0.3232635
28/05/2008,-0.321137711,-0.32749576,-0.319600253,-0.313889359,0.566696677,-0.313889359
29/05/2008,-0.314374526,-0.301794719,-0.301760526,-0.301219658,0.544836597,-0.301219658
30/05/2008,-0.300950521,-0.304966831,-0.285528509,-0.297599774,0.512306399,-0.297599774
31/05/2008,-0.300950521,-0.304966831,-0.285528509,-0.297599774,0.512306399,-0.297599774
01/06/2008,-0.300950521,-0.304966831,-0.285528509,-0.297599774,0.512306399,-0.297599774
02/06/2008,-0.298798561,-0.313221151,-0.320233106,-0.322716984,0.424792768,-0.322716984
03/06/2008,-0.321342649,-0.324306577,-0.333352222,-0.336411141,0.879362466,-0.336411141
04/06/2008,-0.338694888,-0.3327314,-0.330581324,-0.33717964,0.840880728,-0.33717964
